"CustomerName","CustomerId","Domain","LicenseSKU","SkuPartNumber","ActiveUnits","ConsumedUnits","AvailableUnits","SuspendedUnits","WarningUnits","Status"
"OTU WA CNE - 103997","a72d2241-6280-47be-a855-ea92aaf08ed6","otuwacne103997.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103996","ecc2d30e-95b3-41ef-b4b1-2f9f541a34ca","otuwacne103996.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103996","ecc2d30e-95b3-41ef-b4b1-2f9f541a34ca","otuwacne103996.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103996","ecc2d30e-95b3-41ef-b4b1-2f9f541a34ca","otuwacne103996.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103996","ecc2d30e-95b3-41ef-b4b1-2f9f541a34ca","otuwacne103996.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103995","4b2446e0-e17b-4e53-92dc-27c96dbf052b","otuwacne103995.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103995","4b2446e0-e17b-4e53-92dc-27c96dbf052b","otuwacne103995.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103995","4b2446e0-e17b-4e53-92dc-27c96dbf052b","otuwacne103995.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103995","4b2446e0-e17b-4e53-92dc-27c96dbf052b","otuwacne103995.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103994","9497f345-2dc9-4aca-9581-03f973c0729b","otuwacne103994.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103994","9497f345-2dc9-4aca-9581-03f973c0729b","otuwacne103994.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103994","9497f345-2dc9-4aca-9581-03f973c0729b","otuwacne103994.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103994","9497f345-2dc9-4aca-9581-03f973c0729b","otuwacne103994.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103993","515758fa-6df2-4d1c-ad7f-c6e92e29cd5a","otuwacne103993.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103993","515758fa-6df2-4d1c-ad7f-c6e92e29cd5a","otuwacne103993.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103993","515758fa-6df2-4d1c-ad7f-c6e92e29cd5a","otuwacne103993.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 103993","515758fa-6df2-4d1c-ad7f-c6e92e29cd5a","otuwacne103993.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103992","d180178c-b0a7-4b4f-a760-c17d5432a050","otuwacne103992.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103992","d180178c-b0a7-4b4f-a760-c17d5432a050","otuwacne103992.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103992","d180178c-b0a7-4b4f-a760-c17d5432a050","otuwacne103992.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103992","d180178c-b0a7-4b4f-a760-c17d5432a050","otuwacne103992.onmicrosoft.com",,,"1","1","0","2","0","OK"
"OTU WA CNE - 103990","0fdff097-6981-49aa-a15d-b300e7a85553","otuwacne103990.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103990","0fdff097-6981-49aa-a15d-b300e7a85553","otuwacne103990.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103990","0fdff097-6981-49aa-a15d-b300e7a85553","otuwacne103990.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103990","0fdff097-6981-49aa-a15d-b300e7a85553","otuwacne103990.onmicrosoft.com",,,"1","1","0","2","0","OK"
"OTU WA CNE - 103989","7b89fd47-443d-426c-a9c3-ae01ee45bd46","otuwacne103989.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 103989","7b89fd47-443d-426c-a9c3-ae01ee45bd46","otuwacne103989.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 103989","7b89fd47-443d-426c-a9c3-ae01ee45bd46","otuwacne103989.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 103989","7b89fd47-443d-426c-a9c3-ae01ee45bd46","otuwacne103989.onmicrosoft.com",,,"0","1","0","2","0","OK"
